reseña,sentimiento
"Me encantó el producto, llegó antes de lo esperado.",positivo
"No funciona, estoy muy decepcionado.",negativo
"Es un buen producto, cumple con lo prometido.",positivo
"La calidad es terrible, no lo recomiendo.",negativo
"Está bien, nada fuera de lo común.",neutro
Excelente servicio y empaque.,positivo
Llegó dañado y tardó demasiado.,negativo
"Todo bien, como se describe.",neutro
"Pésimo, vino usado.",negativo
"Muy contento con la compra, volveré a comprar.",positivo
Producto aceptable por el precio.,neutro
El empaque llegó mojado.,negativo
Funcionó perfectamente desde el primer uso.,positivo
"Me decepcionó la calidad, esperaba más.",negativo
"Cumple su función, pero nada especial.",neutro
Estoy muy feliz con la compra.,positivo
"Llegó roto, pedí devolución.",negativo
Recomendado si buscas algo económico.,positivo
No es lo que esperaba.,negativo
"Fácil de usar, pero de baja calidad.",neutro
Perfecto para lo que necesitaba.,positivo
Nunca llegó mi pedido.,negativo
"Está bien, pero llegó con retraso.",neutro
Lo recomiendo ampliamente.,positivo
"Mala experiencia, no lo volvería a comprar.",negativo
Buen producto y buen precio.,positivo
No trae lo que promete.,negativo
"Servicio regular, no fue excelente.",neutro
"Maravilloso, superó mis expectativas.",positivo
El soporte fue muy malo.,negativo
